Title,Meta_score,Summary,User_score,GamesRelease,Descrition
UNDERTALE,92,welcome to undertale in this rpg you control a human who falls underground into the world of monsters now you must find your way out or stay trapped forever ((healthy dog's warning: game contains imagery that may be harmful to players with photosensitive epilepsy or similar condition)) features: * killing is unnecessary: negotiate out of danger using the unique battle system * time your attacks for extra damage then dodge enemy attacks in a style reminiscent of top-down shooters * original art and soundtrack brimming with personality * soulful character-rich story with an emphasis on humor * created mostly by one person * become friends with all of the bosses! * at least 5 dogs * you can date a skeleton * hmmm now there are 6 dogs? * maybe you won't want to date the skeleton * i thought i found a 7th dog but it was actually just the 3rd dog * if you play this game can you count the dogs for me? i'm not good at it,7.0,Aug 15 2017,e10+ tobyfox 8-4 role-playing japanese-style no online multiplayer
THE WITCHER 3: WILD HUNT,92,"with the empire attacking the kingdoms of the north and the wild hunt a cavalcade of ghastly riders breathing down your neck the only way to survive is to fight back as geralt of rivia a master swordsman and monster hunter leave none of your enemies standing explore a gigantic open world slay beasts and decide the fates of whole communities with your actions all in a genuine next generation format also known as ""the witcher iii: wild hunt""",9.2,May 19 2015,mofficial site: http://www.thewitcher.com/ cd projekt red studio action rpg role-playing action rpg no online multiplayer
DIVINITY: ORIGINAL SIN II - DEFINITIVE EDITION,92,"set a thousand years after the first game divinity: original sin ii presents a darker more grounded narrative and expands on the tactical combat system of its award-winning predecessor in divinity: original sin you were on a quest for the forbidden source magic now you yourself are a sourcerer: a dangerously powerful individual whose abilities summon creatures from the encroaching void the divine is dead and the void is everywhere sourcerers are blamed and the divine order is leading the charge against the threat: you captured and sent to fort joy you will be ""cured"" of your powers -- no matter the cost but the order has secrets of its own that may cast doubt on its so-called holy mission as you escape from fort joy you realize that if the world remains godless it will be consumed by the void",7.9,Aug 31 2018,m larian studios games role-playing western-style online multiplayer up to 4 players
FINAL FANTASY XIV: SHADOWBRINGERS,91,take part in the next saga of final fantasy® xiv online with the next legendary expansion pack—shadowbringers new jobs: gunbreaker and dancer new races: viera and hrothgar level cap increased: 70 to 80 new cities: the crystarium and eulmore journey through expansive new areas such as the rak’tika greatwood amh araeng il mheg and lakeland new trails including harrowing encounters with titania and innocence new beast tribes: pixies nu mou and dwarves new 8-player raid: eden an exciting new series of alliance raids yorha:dark apocalypse the restoration of the holy see of ishgard - in the aftermath of the dragonsong war disciples of the hand and land work together to rebuild ishgard,8.4,Jul 2 2019,t square enix role-playing massively multiplayer
SHADOW OF THE COLOSSUS,91,tales speak of an ancient realm where colossi roam the majestic landscape bound to the land these creatures hold a key to a mystical power of revival – a power you must obtain to bring a loved one back to life,7.8,Feb 6 2018,tofficial site: http://www.us.playstation.com/content/ogs/scus-97472/site/ bluepoint games sce japan studio action adventure general no online multiplayer
THE WITCHER 3: WILD HUNT - BLOOD AND WINE,91,this expansion pack is an old-school add on with 20 hours of new adventures where players will travel to the land of toussaint,9.1,May 30 2016,m cd projekt red studio role-playing action rpg
CELESTE,91,help madeline survive her journey to the top of celeste mountain in this super-tight hand-crafted platformer from the creators of towerfall,7.4,Jan 25 2018,e10+ matt makes games inc. action platformer 2d no online multiplayer
INSIDE,91,hunted and alone a boy finds himself drawn into the center of a dark project the second game from limbo developer playdead,8.4,Aug 23 2016,m playdead action platformer 2d
NIER: AUTOMATA - GAME OF THE YORHA EDITION,91,humanity has been driven from the earth by mechanical beings from another world in a final effort to take back the planet the human resistance sends a force of android soldiers to destroy the invaders now a war between machines and androids rages on a war that could soon unveil a long-forgotten truth of the world,8.7,Feb 26 2019,m platinumgames role-playing action rpg no online multiplayer
RESIDENT EVIL 2,91,in resident evil 2 the classic action tense exploration and puzzle solving gameplay that defined the resident evil series returns players join rookie police officer leon kennedy and college student claire redfield who are thrust together by a disastrous outbreak in raccoon city that transformed its population into deadly zombies both leon and claire have their own separate playable campaigns allowing players to see the story from both characters’ perspectives the fate of these two fan favorite characters is in players hands as they work together to survive and get to the bottom of what is behind the terrifying attack on the city will they make it out alive?,8.9,Jan 25 2019,m capcom r&d division 1 action adventure survival no online multiplayer
FLOWER,91,"the pioneers that brought you the playstation network title flow are back with another concept that challenges traditional gaming conventions flower expands the team's tradition of delivering simple gameplay accessible controls and a medium to explore emotional chords uncommon in video games in flower the surrounding environment most often pushed to the background in games is pulled to the forefront and becomes the primary ""character"" the player fades from an external and stressful world in the opening of this fresh and genuine game only for ps3 and journeys through beautifully vivid landscapes changing the his surroundings and exploring nature along the way",7.3,Nov 15 2013,eofficial site: http://thatgamecompany.com/games/flower/ bluepoint games general miscellaneous generalnumber of players: 1 player
DRAGON QUEST XI S: ECHOES OF AN ELUSIVE AGE - DEFINITIVE EDITION,91,the definitive edition includes all the content from the original release of the acclaimed dragon quest xi and adds extra character-specific scenarios the choice of playing with the original soundtrack or a grand orchestral version of the music the ability to switch between 2d and 3d graphic modes a japanese voice-acting option and much more,8.2,Dec 4 2020,t square enix role-playing japanese-style no online multiplayer
DIABLO III: ULTIMATE EVIL EDITION,90,playstation 4 players can now experience the full adventure of blizzard’s epic action rpg diablo iii and the upcoming expansion reaper of souls all from the comfort of their couch in diablo iii: ultimate evil edition! take on the role of one of six powerful character class barbarian demon hunter monk witch doctor wizard or the all-new crusader and embark on a dark journey through acts i-v to save the world of sanctuary from ancient and sinister forces with the new dualshock 4 wireless controller and a custom-designed console interface players will be outfitted with touch pad functionality and new social features as they engage in pulse-pounding combat with hordes of monsters and acquire items of incredible power,7.9,Aug 19 2014,m blizzard entertainment action rpg role-playing action rpg up to 4 players
SHOVEL KNIGHT,90,shovel knight is a sweeping classic action adventure game with awesome gameplay memorable characters and an 8-bit retro aesthetic it's a hot mashup of new and old! you play as the eponymous shovel knight a small knight with a huge quest shovel knight has come to this land with two goals: to defeat the evil enchantress and quest for his lost beloved he wields a shovel blade: a multipurpose weapon whose techniques have now been lost to the ages always honest and helpful shovel knight is a shining example of the code of shovelry: slash mercilessly and dig tirelessly! but between shovel knight and his beloved stands a cadre of villainous knights these terrible foes known as the order of no quarter have been dispatched to prevent shovel knight from reaching the enchantress and will pursue their mission at any cost if you love games with perfect platforming beautiful art infectious music crazy bosses humor and levity and real heart shovel knight is for you!,7.7,Apr 21 2015,eofficial site: http://www.kickstarter.com/projects/yachtclubgames/shovel-knight?ref=live yacht club games action platformer 2d
RAYMAN LEGENDS,90,there are several differences and new features in this ps4 version in this version the textures of the game are more compressed so you can see that the game’s graphics are clearer and more detailed than before you will also see that there is no loading time when you enter or exit a level which makes the navigation even faster and more enjoyable ubisoft has also integrated a new camera mode on ps4 by pressing the touchpad of the ps4 joystick you pause the game and enter this mode and by moving your fingers on the touchpad you zoom in and out on the image and drag the image frame; and finally by pressing the share button you can take a photo and share it with everyone this camera mode is a great way to observe in detail all the characters and settings of the game and a great way of expression to create wacky images with the elements found in the game on ps4 you can also use the touchpad to scrape the famous lucky tickets then you will really feel like you’re scraping lottery tickets (with the sound of scraping straight from the ps4 joystick) finally in this ps4 version you’ll also find new playable heroes: assassin ray (a character inspired by edward kenway the hero of assassin’s creed iv: black flag) funky ray (a delusional character that you can unlock by using uplay points) and champion ray (a character who will be offered to the best players of the community and those who live in this community; this character correspond to the new vip status visible in the rankings of online challenges) [playstation blog],8.4,Feb 18 2014,e10+official site: http://www.raymanlegends.com/ ubisoft montpellier platformer 2d action platformer 2d no online multiplayer
MORTAL KOMBAT 11 ULTIMATE,90,experience 2 robust and critically acclaimed story campaigns from mk11 & mk11: aftermath play as the complete 37-character roster including newly added fighters mileena rain & rambo thousands of skins & weapons & gear for an unprecedented level of fighter customization includes all previous guest fighters such as terminator joker spawn & robocop every mode included,5.7,Nov 17 2020, netherrealm studios action fighting 2d up to 8 players
FEZ,90,gomez is a 2d man on a voyage of discovery into the mysterious 3rd dimension change your perspective and look at the world in a different way,6.4,Mar 25 2014,eofficial site: http://www.kokoromi.org/ polytron corp. blitworks action platformer platformer 2d 2dnumber of players: 1 player no online multiplayer
MONSTER HUNTER: WORLD,90,in monster hunter: world you assume the role of a hunter venturing to a new continent where you track down and slay ferocious beasts in heart-pounding battles this new land and its diverse inhabitants play a critical role in each quest as you strategically use the surrounding environment including terrain vegetation and wildlife to your advantage in battle or become hindered by the hazards they present as a hunter you must use your cunning and expertise to track and maneuver your targets throughout the intense evolving battles [capcom],7.7,Jan 26 2018,t capcom role-playing action rpg up to 4 players
TALES FROM THE BORDERLANDS: EPISODE 5 - THE VAULT OF THE TRAVELER,90,in the final episode of the season all hell is breaking loose jack is now in control of helios' systems and he is ready to reclaim his rightful place as king of hyperion - with or without you it's a mad dash to get out of the chaotic space station alive as everyone scrambles to grab the final gortys piece and high tail it back to pandora can you guide our motley crew through perilous corporate dangers in hopes of getting some copious alien riches? loyalties will be tested secrets will be revealed and explosions will be in large supply in this final chapter of tales from the borderlands,7.9,Oct 20 2015,m telltale games adventure general
THE WITCHER 3: WILD HUNT - HEARTS OF STONE,90,hearts of stone features over ten hours of new adventures and introduces new characters powerful monsters unique romance and an entirely new storyline shaped by gamer choices the expansion also introduces a new system of runewords that significantly affects gameplay each runeword impacts a different aspect of in-game mechanics and allows the players to experiment with various strategies and tactics [cd projekt],9.0,Oct 12 2015,m cd projekt red studio role-playing action rpg
SEKIRO: SHADOWS DIE TWICE,90,your death won’t come easily enter the world of late 1500s sengoku japan; a brutal bloody period of constant life-and-death conflict as tensions rise a compelling new story unfolds amongst the chaos introducing sekiro: shadows die twice a dark and twisted new gameplay experience developed by the renowned team at fromsoftware and published by activision directed by hidetaka miyazaki sekiro: shadows die twice is a third-person action-adventure game with rpg elements the single-player game puts players in the protagonist role of a hard-hearted warrior whose mission is to rescue his master a young lord and exact revenge on his arch nemesis as “sekiro” or the “one-armed wolf” players discover the many ways to strategically approach combat and engage enemies [activision],8.1,Mar 22 2019,m from software action adventure general no online multiplayer
ASTRO BOT: RESCUE MISSION,90,astro bot rescue mission is a platformer developed exclusively for use with ps vr take control of astro the captain bot and go on an epic vr rescue mission to save your fellow bots who are dispersed all over space,8.9,Oct 2 2018,e10+ japanstudio action adventure generalspecial controllers: playstation vr required playstation vr required playstation vr compatible no online multiplayer
MONSTER HUNTER: WORLD - ICEBORNE,89,monster hunter world: iceborne is the highly anticipated massive expansion to monster hunter: world the best-selling capcom title of all time with more than 12 million units shipped worldwide adding to the series total of more than 53 million units to date this gargantuan follow-up rivals the gameplay volume from the original release and features a new icy setting storyline monsters gameplay options and more the game's all-new story picks up after monster hunter: world and whisks hunters away to the newly discovered chilly locale that once fully explored becomes the largest region in world so far the new locale is home to several new and returning monsters ready to challenge hunters throughout their expeditions and raises the stakes with the added higher difficulty master rank iceborne continues the skill-based progression and robust crafting system found in world and expands that with several new gameplay features that broaden the player's combat repertoire all this leads to the ultimate hunter test against the mysterious new flagship monster velkhana,8.4,Sep 6 2019,t capcom role-playing action rpg
REZ INFINITE,89,to resolve the world's rising crime rates a new system called project-k was created however eden the core of project-k has fallen into a vegetative state now it's up to you a hacker to travel through a cyberspace filled with firewalls viruses and other obstacles and jump-start the system's artificial intelligence scattered throughout the levels are evolution spheres which let you transform into more powerful humanoid forms the game features a pounding soundtrack and unique vector worlds,7.7,Oct 13 2016,e10+ q entertainment monstars inc. enhance games action shooter railspecial controllers: playstation vr compatible
MEGA MAN X LEGACY COLLECTION,89,mega man x legacy collection includes mega man x x2 x3 and x4,8.5,Jul 24 2018,t capcom miscellaneous compilation no online multiplayer
TITANFALL 2,89,in single player titanfall 2 delivers a crafted experience that explores the unique bond between man and machine playable offline the single player campaign in titanfall 2 lets fans step out onto the frontier as a militia rifleman with aspirations of becoming an elite pilot stranded behind enemy lines and facing overwhelming odds players must team up with a veteran titan to uphold a mission they were never meant to carry out in multiplayer respawn is continuing to evolve their gameplay to provide a more robust experience that delivers expanded depth and variety that includes six new titans deeper pilot abilities more customization options and a robust progression system that is sure to satisfy fans [electronic arts],8.5,Oct 28 2016,m respawn entertainment action shooter first-person arcade up to 16 players
DARK SOULS III,89,developed by japanese developer fromsoftware dark souls iii is the latest chapter in the dark souls series with its trademark sword and sorcery combat and rewarding action rpg gameplay players travel across a wide variety of locations in an interconnected world of unrelenting challenge and deep rpg gameplay as they search for a way to survive the coming apocalypse,8.9,Apr 12 2016,m from software role-playing action rpg up to 6 players
TETRIS EFFECT,89,from deep beneath the ocean to the furthest reaches of outer space tetris effect’s 30-plus stages are more than just backdrops; together with music characters and animations tailor-made for each level and triggered by your actions they’re all meant to make you feel something — to convey a mood or even provoke an emotional response [enhance inc],7.6,Nov 9 2018,e enhance games puzzle stackingspecial controllers: playstation vr compatible playstation vr required playstation vr compatible no online multiplayer
FINAL FANTASY XIV: STORMBLOOD,89,dive into the next chapter of the final fantasy xiv online with its next expansion pack - stormblood explore vast new lands including ala mhigo and challenge new primal threats across eorzea as you embark on hundreds of new quests as the warrior of light features * level cap increased from 60 -> 70 * new jobs including red mage * new exploration with swimming and diving * new areas to explore * a new primal lakshmi * new dungeons * new high-level raid the bend of time omega * new alliance raid return to ivalice * the forbidden land of eureka * new gear and crafting recipes * a fourth residential district * expanded item inventory and changes to the battle system,8.7,Jun 20 2017,t square enix role-playing massively multiplayer massively multiplayer
BASTION,89,the goal of the game is to construct a safe haven in the wake of the calamity a cataclysmic event that shattered the world into a series of floating islands as players journey into the wild unknown in search of survivors and supplies they will confront strange beasts forge an array of customizable weapons and gain new powers from specially-brewed spirits the entire play experience of bastion is dynamically narrated gradually revealing a rich backstory as the narrator reacts to the player's actions in real time,7.7,Apr 7 2015,e10+official site: http://supergiantgames.com/?p=653 supergiant games role-playing action rpg
APEX LEGENDS,89,conquer with character in apex legends a free-to-play battle royale shooter where legendary characters with powerful abilities team up to battle for fame and fortune on the fringes of the frontier master an ever-growing roster of diverse legends deep tactical squad play and bold new innovations that level-up the battle royale experience—all within a rugged world where anything goes welcome to the next evolution of battle royale,6.9,Feb 4 2019,t respawn entertainment action shooter first-person tactical online multiplayer up to 60 players
DREAMS,89,dreams is the space you go to where you go to play and experience the dreams of media molecule and its community it’s also a space in which to create your own dreams whether they’re games art films music or anything in-between and beyond [media molecule],8.7,Feb 14 2020,t media molecule miscellaneous general action adventure sandboxspecial controllers: playstation vr compatible online multiplayer
DRAGON AGE: INQUISITION,89,choose and spearhead a team of characters into rough battles against a variety of enemies – from earth-shaking high dragons to demonic forces from the otherworld of the fade go mano y mano in visceral heroic combat as your followers fight at your six or switch to tactical view to coordinate lethal offensives using the combined might of your company view the tangible results of your path through a living world – construct structures customize outposts and change the landscape itself as environments are re-shaped in the wake of your inquisition lead a company selected from nine unique fully-realized characters – each of whom react to your actions and choices differently forming complex relationships both with you and with each other hone your own character from multiple races customize their appearance and select their powers and abilities as the game progresses extensive customization options allow you to choose everything from the color of your follower’s boots to the features of your inquisition stronghold become an agent of change in a time of uncertainty and upheaval shape the course of empires bring war or peace to factions in conflict and drive the ultimate fate of the inquisition will you stop the cataclysmic anarchy gripping the dragon age? [electronic arts],7.4,Nov 18 2014,mofficial site: http://www.dragonage.com/ bioware general role-playing general action rpg western-style up to 4 players
TONY HAWK'S PRO SKATER 1 + 2,89,drop back in with the most iconic skateboarding games ever made play tony hawk's pro skater & tony hawk's pro skater 2 in one epic collection rebuilt from the ground up in incredible hd all the pro skaters levels and tricks are back and fully-remastered plus more,8.8,Sep 4 2020,t vicarious visions sports individual skate / skateboard up to 8 players
BATTLEFIELD 1,89,intuitive destruction and dynamic weather ensure that no battle is ever the same for even more gameplay possibilities carve a path through walls and buildings take down your enemies in creative ways and leave your mark on the terrain around you through intuitive destruction through your actions the pristine world around you change into a battle-scarred landscape changing the world forever with dynamic weather you will need to adapt your tactics to weather changes as the elements play a part in the battle playing the same map on a bright day in heavy fog or rain will impact what you see and hear forcing you to adapt your play style on an ever-changing battlefield operations introduces a new way to play multiplayer in battlefield 1 you play a series of interconnected battles across multiple fronts play a sequence of battles where your actions have consequences beyond a single match as you try to conquer territory or push back your attackers at those times when you feel all is lost call in the behemoths - the largest fully player-controlled vehicles ever seen in battlefield roam the battlefield and rain fire on your enemy to break their defenses all-out war never felt so epic take control of the armored train air ship or the battleship to dominate the battlefield across land air and sea [electronic arts],7.9,Oct 18 2016,m ea dice action general shooter first-person tactical up to 64 players
MINECRAFT: PLAYSTATION 4 EDITION,89,the game involves players creating and destroying various types of blocks in a three dimensional environment the player takes an avatar that can destroy or create blocks forming fantastic structures creations and artwork across the various multiplayer servers in multiple game modes,6.7,Sep 3 2014,e10+official site: http://www.minecraft.net/ 4j studios mojang ab action adventure adventure 3d sandbox first-person fantasy fantasyesrb descriptors: fantasy violence up to 8 players
WHAT REMAINS OF EDITH FINCH,88,the game is a collection of short stories each of those stories focuses on the death of a different finch family member and each is meant to look and feel different from the others the way no two people in any family are alike [giant sparrow],8.3,Apr 25 2017,t giant sparrow general adventure 3d first-person no online multiplayer
THE BINDING OF ISAAC: REBIRTH,88,rebirth is a randomly generated action rpg shooter with emphatic roguelike elements following isaac on his journey gamers discover bizarre treasures that change isaac’s form giving him extra-human abilities and enabling him to fend off droves of mysterious creatures learn secrets and scrap his way to safety,7.8,Nov 4 2014,m nicalis horror action action adventure shooter survival shoot-'em-up top-down
NIER: AUTOMATA,88,nier producer yosuke saito director taro yoko and composer keiichi okabe return teaming up with character designer akihiko yoshida and platinumgames to present the next entry in the saga – nier: automata,8.9,Mar 7 2017,m platinumgames role-playing action rpg no online multiplayer
RISE OF THE TOMB RAIDER: 20 YEAR CELEBRATION,88,lara croft embarks on her first tomb raiding expedition to the most treacherous and remote regions of siberia rise of the tomb raider: 20 year celebration also includes the new “blood ties” single player content vr support new co-op play for endurance mode and more [playstationcom],8.0,Oct 11 2016,m crystal dynamics nixxes software action adventure linearspecial controllers: playstation vr compatible 2 players
NBA 2K17,88,nba 2k17 promises to take the game to new heights and continue to blur the lines between video game and reality,6.3,Sep 16 2016,e visual concepts sports team basketball sim up to 10 players
DISHONORED 2,88,dishonored 2 takes your protagonist corvo attano or emily kaldwin to the coastal city of karnaca where the choices you make will have significant impact on the world,7.9,Nov 10 2016,m arkane studios action adventure general no online multiplayer
DIVINITY: ORIGINAL SIN ENHANCED EDITION,88,divinity original sin: enhanced edition is a much lauded role-playing-game that blends deep customization and humor with dynamic turn based combat either in online co-op split-screen co-op on your tv or even alone take advantage of a classless rpg system to create your heroes and conquer the evils of rivellon! embark upon a journey with up to three companions as you bend the very fabric of time where what seems like the case of a simple murder unravels into hours of quests facing fiendish foes magical polymorphs and dastardly bosses as a source hunter master the elements and use the environment to your advantage in dynamic combats mixing weather and magic to explode poison electrify freeze and burn your enemies!,8.0,Oct 27 2015,m larian studios games role-playing action rpg western-style 2 players
DEVIL MAY CRY 5,88,the story is set several years after devil may cry 4 legendary dmc action returns made all the more stylish by the power modern gaming has to offer behold stunning visuals built upon the technology that brought you resident evil 7 biohazard high framerate graphics and flexible design give our creators what they need to offer fans the latest and greatest dmc experience,8.4,Mar 8 2019,m capcom action adventure general up to 3 players
BATMAN: THE ENEMY WITHIN - EPISODE 5: SAME STITCH,88,same stitch is the fifth and final episode of batman: the enemy within the episode will follow batman as he confronts either amanda waller and the agency or a menace he has helped create,7.2,Mar 26 2018,m telltale games adventure point-and-click no online multiplayer
SLAY THE SPIRE,88,slay the spire is an energetic fusion of card games and roguelikes choose your cards wisely craft a unique deck encounter bizarre creatures discover relics of immense power and make your way up the ever-changing spire,6.8,May 21 2019,e10+ mega crit games strategy turn-based card battle no online multiplayer
OWLBOY,88,owlboy is a vertical platform adventure set in the sky where the islands of the world have been spread apart after a great calamity you play as otus among the last of the owls a renowned race that has produced many of the world's great wonders,6.7,Apr 10 2018,e10+ blitworks action adventure general no online multiplayer
KEEP TALKING AND NOBODY EXPLODES,88,one player is trapped in a virtual room with a ticking time bomb they must defuse the other players are the “experts” who must give the instructions to defuse the bomb by deciphering the information found in the bomb defusal manual but there’s a catch: the experts can’t see the bomb so everyone will need to talk it out – fast,7.0,Oct 13 2016,e10+ steel crate games adventure 3d first-personspecial controllers: playstation vr compatible playstation vr required
THE TALOS PRINCIPLE: DELUXE EDITION,88,in the talos principle players assume the role of a sentient artificial intelligence placed within a simulation of humanity?s greatest ruins and linked together through an arcane cathedral players are tasked with solving a series of increasingly complex puzzles woven into a metaphysical parable about intelligence and meaning in an inevitably doomed world,8.1,Oct 13 2015,t croteam adventure 3d first-person sci-fi
