Title,Meta_score,Summary,User_score,GamesRelease,Descrition
INSIDE,91,hunted and alone a boy finds himself drawn into the center of a dark project,8.6,Jun 28 2018,m playdead action platformer 2d no online multiplayer
RETRO CITY RAMPAGE DX,91,"rampage the open-world! run missions steal cars evade the law rampage the open-world steal cars and run missions - all while jumping on civilians for coins and outrunning the law with power-ups! this send-up to '80s and '90s video games and pop-culture includes both a full story mode of open-world adventure as well as an arcade mode for quick pick-up-and-play action if that's not enough it also packs an interactive city full of shops minigames customizations collectibles special guest stars and more features -huge open-world to explore -over 60 story missions -over 40 arcade challenges -over 25 weapons & power-ups -over 50 vehicles to steal & equip -over 200 character customizations -includes prototype version ""rom city rampage"" includes guest star minigames: -virtual meat boy -bittrip: retro city -epic meal time includes free-roaming mode play as meat boy commandervideo steve from minecraft and more!",7.9,Aug 3 2017,t vblank entertainment inc. action adventure open-world no online multiplayer
DRAGON QUEST XI S: ECHOES OF AN ELUSIVE AGE - DEFINITIVE EDITION,91,"dragon quest xi: echoes of an elusive age tells a captivating tale of a hunted hero and is the long-awaited role-playing game from series creator yuji horii character designer akira toriyama and composer koichi sugiyama while it is the eleventh mainline entry in the critically acclaimed series dragon quest xi is a completely standalone experience that features entirely new characters a beautifully detailed world finely tuned turn-based combat and an immersive story that will appeal to long-time fans and franchise newcomers alike a young man about to participate in his village's coming of age ceremony travels to a sacred stone alongside his childhood friend after a series of unexpected events this intrepid adventurer learns he is the reincarnation of a legendary hero from a forgotten age the young hero sets forth into an unknown world on a journey to unravel the mystery of his past but the welcome he receives is far from warm upon revealing his identity to the king the hero is branded as ""the dark spawn"" and hunted by a relentless army fleeing from his pursuers the hero assembles a band of endearing adventurers who believe he is actually the luminary reborn the hero and his newfound companions embark on a quest that will take them across continents and over vast oceans as they learn of an ominous threat facing the world",8.6,Sep 27 2019,t square enix role-playing japanese-style no online multiplayer
SONIC MANIA PLUS,91,sonic mania plus is the definitive retail enhanced version of the original sonic mania's digital release presented in a pristine collectible physical release the encore pack is a $5 upgrade fee for owners of the original game,8.0,Jul 17 2018,e sega tantalus action platformer 2d 2 players up to 4 players
STEAMWORLD HEIST: ULTIMATE EDITION,91,join captain piper faraday smuggler and occasional pirate as she recruits a rag-tag team of steam-driven robots and sets out on a daring adventure with your hearty crew you’ll board loot and shoot your way through enemy spaceships overcome the challenges of the vast frontier by upgrading your robots with unique abilities weapons – and even stylish hats!,8.5,Dec 28 2017,e10+ image & form strategy turn-based general no online multiplayer
SHOVEL KNIGHT: TREASURE TROVE,91,shovel knight: treasure trove is the full and complete edition of shovel knight a sweeping classic action adventure game series with awesome gameplay memorable characters and an 8-bit retro aesthetic! become shovel knight wielder of the shovel blade as he runs jumps and battles in a quest for his lost beloved take down the nefarious knights of the order of no quarter and their menacing leader the enchantress but that's not everything! shovel knight: treasure trove also features three additional campaigns that are games all unto themselves! take control of plague knight specter knight and king knight on adventures of their own! together they form a grand and sweeping saga! with a fully cooperative campaign a full-featured challenge mode a 4 player battle mode and body swap mode you'll be digging for a long time with shovel knight: treasure trove you get it all uphold the virtues of shovelry earn relics and riches and discover the true meaning of shovel justice!,8.2,Mar 3 2017,e yacht club games action platformer 2d no online multiplayer
ANIMAL CROSSING: NEW HORIZONS,90,if the hustle and bustle of modern life’s got you down tom nook has a new business venture up his sleeve that he knows you’ll adore: the nook inc deserted island getaway package sure you’ve crossed paths with colorful characters near and far had a grand time as one of the city folk may’ve even turned over a new leaf and dedicated yourself to public service but deep down isn’t there a part of you that longs for…freedom? then perhaps a long walk on the beach of a deserted island where a rich wealth of untouched nature awaits is just what the doctor ordered peaceful creativity and charm await as you roll up your sleeves and make your new life whatever you want it to be collect resources and craft everything from creature comforts to handy tools embrace your green thumb as you interact with flowers and trees in new ways set up a homestead where the rules of what goes indoors and out no longer apply make friends with new arrivals enjoy the seasons pole-vault across rivers as you explore and more,5.5,Mar 20 2020,e nintendo simulation virtual virtual life up to 8 players
ORI AND THE BLIND FOREST: DEFINITIVE EDITION,90,ori and the blind forest: definitive edition delivers a multitude of new areas difficulty options and gameplay upgrades that should appeal to both new and seasoned ori players,8.6,Sep 27 2019,e moon studios action platformer 2d no online multiplayer
BASTION,90,bastion is an original action role-playing game featuring a reactive narrator who marks your every move lush hand-painted 2d artwork and tight responsive gameplay that rewards playing with finesse the game is designed to be simple to pick up and start playing while offering a lot of rich choices around character customization as well as a deep story and gameworld you can lose yourself in,7.7,Sep 13 2018,e10+official site: http://supergiantgames.com/?p=653 supergiant games role-playing action rpg no online multiplayer
FLORENCE,90,at 25 florence yeoh feels a little stuck her life is an endless routine of work sleep and spending too much time on social media then one day she meets a cello player named krish who changes everything about how she sees the world experience every beat of florence and krish’s relationship through a series of bespoke gameplay vignettes – from flirting to fighting from helping each other grow to growing apart drawing inspiration from ‘slice of life’ graphic novels and webcomics florence is intimate raw and personal,5.9,Feb 13 2020,t mountains adventure general visual novel no online multiplayer
HOLLOW KNIGHT,90,hollow knight is a 2d action-adventure game with an emphasis on traditional 2d animation and skillful gameplay journey to hallownest a vast and ancient underground kingdom inhabited by a bizarre collection of insects and monsters players will forge their own path as they explore ruined cities forests of fungus temples of bone and other fantastic lands all on their way to uncovering an ancient mystery,8.9,Jun 12 2018,e10+ team cherry action adventure general no online multiplayer
BAYONETTA + BAYONETTA 2,90,the witch is back the witching hour strikes again brimming with intricate battles that take place in on and all over epic set pieces bayonetta 2 finds our sassy heroine battling angels and demons in unearthly beautiful hd you're bound to love how it feels to string together combos with unimaginable weapons and to summon demons using bayonetta's wicked weave in this frantic stylized action game bayonetta 2 is a wii u exclusive bayonetta comes packed in with the purchase of every retail packaged version of bayonetta 2 features: -initiate the new umbran climax technique to temporarily summon demons and boost bayonetta's attack power and range whenever you fill her magic gauge -fight with new over-the-top weapons that open new possibilities to the way you battle including the kafka a bow that shoots poisonous arrows; the rakshasa a pair of beautiful katana blades; and a giant rifle-inspired scythe known as the chernobog -team up with a friend in tag climax a two-player online co-op mode enjoy a little friendly competition by trying to deal the most damage as you work together to take down angels and demons -in online quick matches you can wager halos the in-game currency that you earn by defeating enemies you receive a large sum back if you can prove you're a better fighter than your partner halos can then be traded in a story mode shop to unlock new techniques buy accessories and pick up alternate weapon variations -every chapter ends with a medal ranking: stone bronze silver gold platinum or pure platinum the more skilled you are the higher your ranking -this game is approachable for players of all levels with settings of three difficulty levels through touch play you can play with the gamepad stylus and touch screen regardless of which difficulty you choose,8.7,Feb 16 2018,m platinumgames miscellaneous compilation no online multiplayer
XENOBLADE CHRONICLES: DEFINITIVE EDITION,89,join the fight between man and machine in the definitive edition of this critically-acclaimed rpg discover the origins of shulk as he and his companions clash against a seemingly-unstoppable mechanical menace wield a future-seeing blade chain together attacks and carefully position your party members in strategic real-time combat as you journey across a massive world during an attack from the mechanical invaders known as the mechon shulk discovers that he can tap into the full power of a mysterious blade known as the monado with the mighty monado in hand shulk sets out to defeat the mechon once and for all in addition to the mechon you’ll run into wildlife that ranges from docile to deadly keep an eye on what attracts monsters’ attention to avoid unwanted conflict…or try your hand at bringing down an ultra-powerful unique monster upgrade your party as you progress through the adventure by selecting equipment enhancing weapon skills and using benefit-granting gems put your dependable companions to work by filling the party gauge to trigger a chain attack and attack enemies in quick succession,8.9,May 29 2020,t monolith soft role-playing action rpg no online multiplayer
DEAD CELLS,89,dead cells is a rogue-lite metroidvania action-platformer you'll explore a sprawling everchanging castle assuming you're able to fight your way past its keepers in 2d souls-lite combat no checkpoints kill die learn repeat roguevania: the progressive exploration of an interconnected world with the replayability of a rogue-lite and the adrenaline pumping threat of permadeath 2d souls-lite action: tough but fair combat more than fifty weapons and spells with unique gameplay and of course the emergency panic roll to get you out of trouble nonlinear progression: sewers ossuary or remparts? once unlocked special permanent abilities allow you to access new paths to reach your objective opt for the path that suits your current build your play style or just your mood exploration: secret rooms hidden passages charming landscapes take a moment to stroll the towers and breath in that fresh sea mist infused air,8.4,Aug 7 2018,t motion twin action platformer 2d no online multiplayer
INTO THE BREACH,89,control powerful mechs from the future to defeat an alien threat each attempt to save the world presents a new randomly generated challenge in this turn-based strategy game,7.9,Aug 28 2018,e10+ subset games strategy turn-based tactics no online multiplayer
SUPER MARIO 3D WORLD + BOWSER'S FURY,89,the cat's out of the bag super mario 3d world is on to the nintendo switch system pounce and climb through dozens of colorful stages! mario (and his friends) can use power-ups like the super bell which grants catlike abilities like climbing and scratching work together locally or online with up to three other players to reach the goaland to see who can get a high score the super mario 3d world + bowser's fury game features the same great co-op gameplay creative levels and power-ups as the original game but also so much more,8.6,Feb 12 2021,e nintendo action platformer 3d up to 4 players
FIRE EMBLEM: THREE HOUSES,89,war is coming to the continent of fódlan here order is maintained by the church of seiros which hosts the prestigious officer's academy within its headquarters you are invited to teach one of its three mighty houses each comprised of students brimming with personality and represented by a royal from one of three territories as their professor you must lead your students in their academic lives and in turn-based tactical rpg battles wrought with strategic new twists to overcome which house and which path will you choose?,8.7,Jul 26 2019,t intelligent systems koei tecmo games strategy turn-based tactics no online multiplayer
OKAMI HD,89,in okami the player takes the role of the mythical sun goddess amaterasu in the form of a wolf her task is to restore color (or 'life') to the world by destroying the monsters who have stolen it since amaterasu is a diety there are naturally people who worship her and people who don't the more people who worship her (as a result of her restoring color and doing other good deeds for them) the more powerful she becomes,8.5,Aug 9 2018,tofficial site: http://www.o-kami.jp/ capcom action adventure general no online multiplayer
MARK OF THE NINJA: REMASTERED,89,in mark of the ninja remastered learn what it is to truly be a ninja you must be silent agile and clever to outwit opponents in a world of gorgeous scenery and flowing animation with cursed tattoos giving you heightened senses,8.4,Oct 9 2018, klei entertainment action platformer 2d no online multiplayer
TOWERFALL,89,towerfall ascension is the definitive version of the hit archery combat game inspired by classics from the golden age of couch multiplayer it's a 4-player local party game centering around hilarious intense versus matches the core mechanics are simple and accessible but hard to master and combat is fierce loot treasure chests for game-changing power-ups master the art of catching arrows out of the air or descend on your foes and stomp them into submission towerfall is best played competitively with friends cross-legged on the floor within punching distance of each other new in ascension is the 1- or 2-player co-op quest mode players work together fighting off a variety of monsters and enemy archers across the land of towerfall it's a new adventure to explore when you don't have more friends handy to square off against,8.5,Sep 27 2018,e10+ matt thorson matt makes games inc. action general platformer 2d no online multiplayer
A SHORT HIKE,88,follow the marked trails or explore the backcountry as you make your way to the summit along the way meet other hikers discover hidden treasures and take in the world around you explore the island any way you like choose your own path to follow and see where it leads you you never know what you might stumble into! hike at your own pace - there's no need to rush to the summit! take your time fishing along the river banks or swimming by the lakeshore collect hidden treasures to reach new heights try taking a dive off the mountain peaks to soar above the forests chat with the other hikers you meet along your route you might be able to help each other out! listen to a lush original soundtrack by mark sparling that progresses dynamically as you explore the wilderness,8.7,Aug 18 2020,e adamgryu adventure general no online multiplayer
DREAM DADDY: A DAD DATING SIMULATOR,88,this game includes dream daddy: dadrector’s cut it features cut content new sidequests the ability to replay minigames that you’ve discovered throughout the game and a brand new minigame for your enjoyment you and your daughter have just moved into the sleepy seaside town of maple bay only to discover that everyone in your neighborhood is a single dateable dad! will you go out with teacher dad? goth dad? bad dad? or any of the other cool dads in this game? with a variety of paths and endings dream daddy: a dad dating simulator hopes to be the year's most anticipated dad-based game for the second year in a row,7.1,Jul 2 2019,t game grumps simulation virtual virtual life no online multiplayer
DICEY DUNGEONS,88,become a giant walking dice and battle to the end of an ever-changing dungeon! can you escape the cruel whims of lady luck? in this new fast-paced deckbuilding roguelike from terry cavanagh chipzel and marlowe dobbe you'll fight monsters find better loot and level up your heroes as you work together to take down the goddess of fortune lady luck herself balance your carefully planned strategies against the unknown of a dice roll play as six different characters each with their own unique play styles and abilities master each class and figure out which one best fits your style in this charming world filled with a growing array of twists and secrets can you make it out alive? maybe but luck is definitely not on your side,8.7,Dec 15 2020, terry cavanagh strategy general no online multiplayer
HYPER LIGHT DRIFTER,88,echoes of a dark and violent past resonate throughout a savage land steeped in treasure and blood hyper light drifter is an action adventure rpg in the vein of the best 16bit classics with modernized mechanics and designs on a much grander scale drifters of this world are the collectors of forgotten knowledge lost technologies and broken histories our drifter is haunted by an insatiable illness traveling further into the lands of buried time hoping to discover a way to quiet the vicious disease,7.8,Sep 6 2018,t heart machine role-playing action rpg no online multiplayer
WHAT REMAINS OF EDITH FINCH,88,what remains of edith finch is a collection of short stories about a cursed family in washington state,7.8,Jul 4 2019,t giant sparrow adventure 3d first-person no online multiplayer
NUCLEAR THRONE,88,the idea behind vlambeer's nuclear throne is simple: it's a post-apocalyptic roguelike-like top-down shooter not 'the final hope of humanity' post-apocalyptic but 'humanity is extinct and weird mutants and terrifying monsters now roam the world' post-apocalyptic all you need to do is take control of one of those mutants and shoot the things trying to kill you use simple weaponry like quintuple-barreled bazookas super plasma cannons or exquisite cursed laser miniguns or the game might just hand you a screwdriver deal with it mutate some new limbs and abilities as you go and become the ultimate throne hunter find secret vaults with game-changing crowns discover rare overpowered weaponry or compete in the worldwide daily and weekly challenges all these things and more you could do if only you were good at this game can you reach the nuclear throne?,8.5,Mar 20 2019,e10+ vlambeer action shooter shoot-'em-up top-down no online multiplayer
FAR: LONE SAILS,88,far: lone sails is a vehicle adventure game it’s just you and your machine vs the big nothing traverse a dried-out seabed littered with the remains of a decaying civilization keep your unique vessel going overcome numerous obstacles and withstand the hazardous weather conditions how far can you make it? what will you find?,7.7,Aug 18 2019,e okomotive action action adventure platformer linear 2d no online multiplayer
GONE HOME,88,june 7 1995 1:15 am you arrive home after a year abroad you expect your family to greet you but the house is empty something's not right where is everyone? and what's happened here? gone home is an interactive exploration simulator interrogate every detail of a seemingly normal house to discover the story of the people who live there open any drawer and door pick up objects and examine them to discover clues uncover the events of one family's lives by investigating what they've left behind go home again,5.7,Sep 6 2018,m the fullbright company adventure 3d first-person no online multiplayer
SUPER MARIO MAKER 2,88,mario fans of the world unite! now you can play create and share the side-scrolling super mario courses of your dreams in the super mario maker 2 game available exclusively on the nintendo switch™ system! dive into the single-player story mode and play built-in courses to rebuild princess peach’s castle make your own courses alone or together and with a nintendo switch online membership* share your courses access a near-endless supply made by others enjoy online multiplayer and more a new side-scrolling mario adventure that unleashes the creative potential of super mario maker 2 awaits in story mode which contains over 100 built-in courses and in course maker a wide range of parts tools and more are available so you can construct your own courses want coin-shooting cannons? bowser riding on a giant goomba? cat mario sliding down slopes to take out an army of baddies? go for it! you call the shots pass a joy-con controller to a partner to build cooperatively on a single system,8.5,Jun 28 2019,e nintendo action platformer 2d up to 4 players
DOWNWELL,88,downwell is a curious game about a young person venturing down a well in search of untold treasures with only his gunboots for protection make your way further and further down into the darkness filled with nasty creatures and mysterious secrets to collect the spectacular red gems scattered about the rocks step into precariously placed shops and buy some helpful items or level up between levels to battle well-dwelling monsters and uncover hidden caves filled with riches and relics no two trips down the well are ever the same,7.3,Jan 31 2019,e10+ moppin action general no online multiplayer
DIABLO III: ETERNAL COLLECTION,88,generations of gamers have battled the demonic hordes of diablo and now it's your turn to take part in the action-rpg legacy this eternal collection features diablo iii the reaper of souls expansion set and the rise of the necromancer packall together in one definitive volume prepare yourself mortal hero the hellgates are opening,7.6,Nov 2 2018,m blizzard entertainment role-playing action rpg up to 4 players
STEAMWORLD DIG 2,88,grab your pickaxe and dig into the sequel to steamworld dig a platform mining adventure forged in metroidvania flames in search of her lost friend a lone steambot and her unlikely companion must dig deep gain riches and explore an underworld riddled with danger but time is running short [nintendo],8.6,Sep 21 2017,e10+ image & form action action adventure general platformer 2d no online multiplayer
IKARUGA,88,a rebel pilot named shinra must battle an enemy nation using a specially-designed fighter called the ikaruga which can switch between two energy polarities (black or white) at the touch of a button bullets that are the same color as shinra's ship can be absorbed while the opposite color will do damage - this polarity-switching mechanic is the game's core feature and the foundation for its stage and enemy design it's now up to shinra makes his final stand as the ikaruga might be the rebel federation's last chance to defeat the oppressive horai regime,7.7,May 29 2018,e10+official site: http://www.xbox.com/en-us/games/i/ikarugaxboxlivearcade/ treasure zereo action shooter shoot-'em-up vertical no online multiplayer
CAVE STORY +,88,cave story takes you into a rare world where a curious race of innocent rabbit-like creatures called mimiga run free you wake up in a dark cave with no memory of who you are where you came from or why you're in such a place uncovering mimiga village you discover that the once-carefree mimiga are in danger at the hands of a maniacal scientist their only hope rests squarely on the shoulders of a quiet amnesiac boy who can't remember his own name take control learn the origins of this world's power stop the delusional villain and save the mimiga,7.9,Jun 20 2017,e10+ nicalis action platformer 2d no online multiplayer
DEEMO,88,experience deemo: the last recital a music rhythm game and story of urban fantasy deemo is a mystic being that lives in solitude in a castle all by itself his life changes when a little girl who lost her memories unknowingly falls from the sky not knowing who she is and where she came from deemo comes to realize that whenever he plays the piano a tree in front of him grows taller and taller confident that the tree can grow tall enough to help the little girl reach the sky from where she came from the two come together to play the piano together can deemo help the little girl regain her memories and help her get back home?,8.5,Sep 28 2017,e flyhigh works action rhythm music no online multiplayer
STARDEW VALLEY,87,you've inherited your grandfather's old farm plot in stardew valley armed with hand-me-down tools and a few coins you set out to begin your new life can you learn to live off the land and turn these overgrown fields into a thriving home? it won't be easy ever since joja corporation came to town the old ways of life have all but disappeared the community center once the town's most vibrant hub of activity now lies in shambles but the valley seems full of opportunity with a little dedication you might just be the one to restore stardew valley to greatness,8.7,Oct 5 2017,e10+ concernedape role-playing general no online multiplayer
CUPHEAD,87,cuphead is a classic run and gun action game heavily focused on boss battles inspired by cartoons of the 1930s the visuals and audio are painstakingly created with the same techniques of the era ie traditional hand drawn cel animation watercolor backgrounds and original jazz recordings play as cuphead or mugman (in single player or local co-op) as you traverse strange worlds acquire new weapons learn powerful super moves and discover hidden secrets while you try and pay your debt back to the devil!,8.3,Apr 17 2019,e10+ studio mdhr action platformer 2d no online multiplayer
ASTRAL CHAIN,87,as part of a police special task force it’s up to you to fight against mysterious alien-like creatures who have invaded the world in the ark a multi-cultural city in the near future disaster strikes when gates to another dimension suddenly appear! dangerous creatures begin to emerge attacking the people and polluting the land and normal police forces are unable to compete with them to stand up against these threats a brand new special police unit known as neuron is formed choose between two playable characters – one male one female – on your adventure the character you don’t choose also appears as your younger twin and a fellow member of neuron in order to resist the creatures humanity developed a special weapon: the legion the legion acts as your partner and helps with your investigations however it’s in battle where the legion shows its real ability,8.9,Aug 30 2019,t platinumgames action adventure general no online multiplayer
DRAGON BALL FIGHTERZ,87,after the success of the xenoverse series its time to introduce a new classic 2d dragon ball fighting game for this generations consoles dragon ball fighterz is born from what makes the dragon ball series so loved and famous: endless spectacular fights with its allpowerful fighters partnering with arc system works dragon ball fighterz maximizes high end anime graphics and brings easy to learn but difficult to master fighting gameplay to audiences worldwide key features: * 3vs3 tag/support allows players to train and master more than one fighter/style which brings deeper gameplay * high-end anime graphics using the power of the unreal engine and the talented team at arc system works dragon ball fighterz is a visual tour-de-force * spectacular fights experience aerial combos destructible stages famous scenes from the dragon ball anime reproduced in 60fps and 1080p resolution (higher resolution will be supported on ps4 pro and xbox scorpio),7.8,Sep 28 2018,t arc system works action fighting 2d up to 6 players
KENTUCKY ROUTE ZERO: TV EDITION,87,kentucky route zero is a magical realist adventure game about a secret highway in the caves beneath kentucky an antique furniture delivery man trying to make his small shop's last delivery gets lost along the way and meets a haunted tv repairwoman a young boy and his giant eagle brother a pair of robot musicians and dozens of other characters together they explore the nocturnal highways and country roads of kentucky the storied echo river by ferry and the mysterious route zero the secret highway that runs through mammoth cave,7.3,Jan 28 2020,t cardboard computer adventure general no online multiplayer
GUACAMELEE! 2,87,"brawling has never been more beautiful! the long-awaited sequel to the smash hit action-platformer is here: guacamelee! 2 brings luchador juan aguacate out of retirement for a stunning new metroidvania-style adventure where he must face his greatest challenge yet - one that threatens to tear apart the very fabric of the mexiverse! explore a huge hand-crafted world inspired by mexican culture and folklore filled with sassy new villains and weirdos (and a few old friends!) learn a deep repertoire of bone-crunching wrestling moves to fend off the skeletal hordes and overcome skillful platforming challenges and who said anything about a chicken illuminati? certainly not us! check out these features: * an epic adventure spanning time and space featuring drop-in 4-player local co-op for you and your best amigos! * a brand new upgrade system: discover ""trainers"" around the world defeat their challenges and develop your skill sets for movement combat and more! * a vibrant colorful adventure that takes you from the mangrove swamp to hell itself featuring twice as many enemy types as the first game and a roster of eccentric new bosses! * an absolutely fuego electro-mexican soundtrack and more gorgeous visuals than ever thanks to a fancy new rendering engine! * definitely no secret society of chickens that teaches you ancient chicken abilities previously lost to the ages!",8.5,Dec 10 2018, drinkbox studios action platformer 2d up to 4 players
ENTER THE GUNGEON,87,enter the gungeon is a gunfight dungeon crawler following a band of misfits seeking to shoot loot dodge roll and table-flip their way to personal absolution by reaching the legendary gungeon’s ultimate treasure: the gun that can kill the past,7.9,Dec 14 2017,tofficial site: http://www.enterthegungeon.com/ dodge roll action general shooter shoot-'em-up top-down no online multiplayer
